% vessel 1
5638446.30663441,362863.817756371
5638444.98453322,362873.717088232
5638541.23048974,362881.388952929
5638541.64351125,362871.403007022

% vessel 2
5638206.68323486,362763.126565279
5638202.64301747,362772.266156411
5638291.3497035,362805.440381188
5638294.61108731,362795.994583256

% vessel 3
5638012.09380945,362737.048925988
5638006.75964179,362745.499581749
5638094.68582655,362795.347051939
5638099.20635837,362786.429678464

% vessel 4
5637988.94436384,362850.449613007
5637982.93239701,362858.449993371
5638075.07025637,362919.357213612
5638080.27975355,362910.822925684

% vessel 5
5638203.90570254,362966.681870555
5638200.65829638,362976.144340059
5638306.19006342,363009.510229066
5638308.81798432,362999.865880657

% lower polygon points for vessel 3
5637731.114436,362097.316284
5638314.870459,362760.794708
5638561.443586,362821.588552
5639146.972572,362731.789952
5639580.62288,362337.843524
5639782.098957,361775.72172
5639803.775421,361133.780556

% upper polygon points for vessel 3
5637545.105446,362440.555003
5638275.261805,363064.430536
5638617.684306,363107.643713
5639431.404477,362871.02135
5639829.606889,362505.073597
5640079.25275,361517.184705
5640086.257514,360917.352158
